CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,75,"2,658.65","2,935.55","1,500","8,300.00",-,-,0.05,450,-0.35,0.10,159.66,"2,203",220,388,
,-,-,-,-,-,-,"7,350","2,499.45","2,922.40","1,500","8,350.00",-,-,0.70,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"7,350","2,454.05","2,869.20","1,500","8,400.00",75,0.05,0.40,"2,850",0.20,0.40,180.17,5,2,3,
,-,-,-,-,-,-,"7,350","2,408.50","2,814.10","1,500","8,450.00",-,-,0.55,"3,000",-,0.30,-,-,-,-,
,-,-,-,-,-,-,"7,350","2,483.80","2,657.75",75,"8,500.00","10,575",0.05,0.10,"2,400",-0.30,0.10,154.76,929,151,"1,176",
,-,-,-,-,-,-,"1,500","2,426.45","2,705.70","1,500","8,550.00","3,750",0.05,0.70,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500","2,379.25","2,652.20","1,500","8,600.00","3,750",0.05,0.70,300,-,-,-,-,-,-,
,2,2,4,-,"2,233.60",666.40,300,"2,390.55","2,554.60",300,"8,650.00",75,0.15,0.35,75,-0.95,0.15,138.25,3,1,2,
,-,-,-,-,-,-,"1,425","2,284.80","2,544.55","1,425","8,700.00","3,750",0.05,0.70,"2,400",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,425","2,237.00","2,490.60","1,425","8,750.00","3,750",0.05,0.80,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,425","2,189.95","2,437.20","1,425","8,800.00","3,750",0.05,0.70,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,425","2,142.50","2,383.75","1,425","8,850.00","3,750",0.05,0.75,"1,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,425","2,094.80","2,330.80","1,425","8,900.00","3,750",0.05,0.60,900,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,425","2,048.70","2,278.30","1,425","8,950.00","3,750",0.05,0.75,"1,500",-,-,-,-,-,-,
,6,-,-,-,"2,095.00",-,75,"2,070.95","2,159.40",75,"9,000.00","9,150",0.15,0.20,"14,025",-0.25,0.15,133.06,"4,850",-22,"3,821",
,-,-,-,-,-,-,"1,425","1,953.85","2,173.20","1,425","9,050.00","3,750",0.05,0.55,75,-,0.70,-,-,-,2,
,-,-,-,-,-,-,"1,425","1,905.90","2,120.45","1,425","9,100.00","1,575",0.30,0.50,150,-0.35,0.50,131.99,13,5,56,
,-,-,-,-,-,-,"1,350","1,858.85","2,067.70","1,350","9,150.00","3,750",0.05,1.00,300,-,-,-,-,-,-,
,1,-,-,-,"1,915.00",-,"1,350","1,811.40","2,015.15","7,350","9,200.00",75,0.15,0.55,600,-,0.75,-,-,-,43,
,-,-,-,-,-,-,"1,350","1,764.25","1,962.50","7,350","9,250.00","3,750",0.05,1.00,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,350","1,716.50","1,910.05","7,350","9,300.00",900,0.25,0.50,900,-,0.80,-,-,-,46,
,-,-,-,-,-,-,"1,350","1,669.35","1,857.45","7,350","9,350.00","3,750",0.10,0.95,"1,800",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,350","1,621.70","1,805.10","7,350","9,400.00",525,0.25,0.50,900,-0.25,0.10,109.22,20,-5,16,
,-,-,-,-,-,-,"1,350","1,574.00","1,752.40","1,350","9,450.00","3,750",0.10,0.45,"1,800",0.45,0.55,112.30,7,5,6,
,1,-1,2,-,"1,600.00",-,75,"1,612.10","1,628.70",150,"9,500.00",150,0.45,0.50,450,-0.30,0.30,107.94,"2,319",-723,"3,521",
,-,-,-,-,-,-,"1,350","1,478.90","1,647.15","7,350","9,550.00","1,050",0.15,0.60,"1,800",-,2.60,-,-,-,1,
,-,-,-,-,-,-,"1,350","1,431.45","1,594.55","7,350","9,600.00","2,700",0.30,0.60,225,-0.60,0.30,96.51,327,-132,222,
,-,-,-,-,-,-,"1,275","1,384.25","1,542.30","7,350","9,650.00",75,0.25,0.65,75,-0.20,0.35,94.71,19,10,21,
,-,-,-,-,-,-,"1,275","1,328.10","1,489.75","1,275","9,700.00",825,0.35,0.60,"1,575",-0.55,0.35,91.53,467,-234,344,
,-,-,-,-,-,-,75,"1,324.10","1,411.45",75,"9,750.00","1,275",0.30,0.75,750,-0.15,0.65,94.00,2,1,19,
,-,-,-,-,-,-,75,"1,234.60","1,359.75",75,"9,800.00","3,000",0.45,0.60,225,-0.55,0.45,88.23,"1,729",-178,"3,316",
,-,-,-,-,-,-,75,"1,191.10","1,427.35",75,"9,850.00",450,0.20,0.45,150,-0.90,0.30,80.83,10,-4,7,
,-,-,-,-,-,-,75,"1,153.25","1,302.30",75,"9,900.00","1,125",0.40,0.70,"1,200",-0.45,0.40,84.68,"3,322","-1,113",789,
,-,-,-,-,-,-,75,"1,125.30","1,224.85",75,"9,950.00",75,0.45,0.70,825,-0.80,0.50,78.48,14,-1,78,
,38,-3,17,-,"1,082.95",-13.35,75,"1,088.70","1,129.05",75,"10,000.00","1,350",0.50,0.60,"6,825",-0.80,0.45,76.00,"26,114","-7,010","8,699",
,-,-,-,-,-,-,75,"1,040.35","1,109.55",75,"10,050.00",75,0.35,0.90,75,-0.90,0.50,72.01,144,-26,130,
,181,-81,121,-,"1,001.00",28.95,300,"1,009.15","1,026.80",75,"10,100.00",150,0.60,0.70,"4,500",-0.80,0.75,71.89,"13,795","-3,813","2,677",
,5,1,2,126.57,982.75,34.90,300,949.60,982.75,300,"10,150.00",750,0.55,0.75,75,-1.10,0.85,65.55,397,-28,56,
,112,-20,57,-,886.60,-9.95,75,910.15,927.50,75,"10,200.00","1,500",0.55,0.60,225,-1.05,0.80,63.58,"13,235","-1,951","4,063",
,2,1,3,92.13,864.80,70.40,"1,200",834.70,882.70,75,"10,250.00",750,0.65,0.90,75,-1.00,0.75,61.85,626,-192,480,
